,ID,Name,Address,IsNetObject,TypeObject,is_actual
6263,322547,Клаштер бар,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, Ленинский проспект, дом 11, строение 1",нет,бар,True
1676,321238,Coctail Bar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коньково, улица Бутлерова, дом 17Б",,бар,True
725,319380,CRAFT BEER,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, Звёздный бульвар, дом 12, корпус 1",,бар,True
9699,319070,Территория качественного пива,"город Москва, улица Старый Гай, дом 7",,бар,True
5445,317388,Lightroom,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, 4-й Самотёчный переулок, дом 9",,бар,True
9633,316637,Пивной герцог,"город Москва, Мукомольный проезд, дом 2",нет,бар,True
4274,316601,Караоке-кафе Кукушка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Таганская улица, дом 29, строение 1",нет,бар,True
3597,316282,Футбол и Борода,"город Москва, Ленинградский проспект, дом 75, корпус 1",,бар,True
4747,315867,Крафтейнер,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Новодмитровская улица, дом 1, строение 1",нет,бар,True
2728,315377,Misty Wood,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, проспект Мира, дом 118",нет,бар,True
770,313742,Мята Lounge,"город Москва, Шмитовский проезд, дом 39, корпус 1",,бар,True
8165,312659,VANILLA LOUNGE,"город Москва, Сущёвская улица, дом 19, строение 4",нет,бар,True
7014,311911,Стоп кран,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Новотушинский проезд, дом 8, корпус 1",,бар,True
7683,311337,SHVARM (ПРОФСОЮЗ),"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Сущёвская улица, дом 21",,бар,True
1131,311228,Хмель и солод,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лосиноостровский, улица Малыгина, дом 5, корпус 1",да,бар,True
8622,311181,Настоишная,"улица Арбат, дом 36/2, строение 1, помещение 2П",,бар,True
3062,310967,Smoker street,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Весковский переулок, дом 2, строение 1",,бар,True
1800,309537,Macadamia (ДЕПО МОСКВА),"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3",нет,бар,True
4454,307264,HIDE INLA-5 bar lounge,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Внуково, посёлок Внуково, Центральная улица, дом 8Б",,бар,True
9974,307194,Hookah-Loft 24,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, Духовской переулок, дом 17",,бар,True
781,306734,Сабфилд,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Фрунзенская набережная, дом 46",нет,бар,True
3660,306549,БЭМБИ,"город Москва, Новослободская улица, дом 4",нет,бар,True
9910,306484,Чайная,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, 3-й Красносельский переулок, дом 19, строение 4",нет,бар,True
3546,306481,Mercury Lounge,"город Москва, улица Свободы, дом 71А, корпус 2",,бар,True
981,306470,Hookah Smokers,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, улица Александра Солженицына, дом 1/5",нет,бар,True
5208,306309,МСК,"город Москва, 3-й Нижнелихоборский проезд, дом 3",,бар,True
8930,306241,Right Hops,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Цветной бульвар, дом 15, строение 1",нет,бар,True
7050,305998,КАФЕ-БАР «ГЛАВCLUB»,"город Москва, улица Орджоникидзе, дом 11",нет,бар,True
2305,305993,КАФЕ-БАР «ГЛАВCLUB»,"город Москва, улица Орджоникидзе, дом 11",,бар,True
1961,305695,Mission,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Спартаковская улица, дом 3, строение 3",,бар,True
9748,305313,Пивотека 465,"город Москва, улица Архитектора Щусева, дом 2, корпус 2",нет,бар,True
4851,305172,ОПЕНБИР (Разливное пиво ),"город Москва, Вешняковская улица, дом 39Г",нет,бар,True
8530,305097,Кебаб нон стоп,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Мясницкая улица, дом 32, строение 1",нет,бар,True
8041,305067,Agile Bar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Старокирочный переулок, дом 16/2, строение 1",,бар,True
6310,304994,Кальянная MR ATLANT,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, улица Малая Ордынка, дом 37, строение 1",,бар,True
996,304205,Бар «Хмель и Солод»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, улица Серпуховский Вал, дом 14",нет,бар,True
1544,304129,Harats pub,"город Москва, Головинское шоссе, дом 1",,бар,True
6184,303121,Мята Lounge,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, Аргуновская улица, дом 2, корпус 2",да,бар,True
3397,303022,Zavisimost,"город Москва, Корабельная улица, дом 17, корпус 3",,бар,True
8163,301811,Strawberry Haze,"город Москва, Большая Серпуховская улица, дом 44",,бар,True
7877,300412,Кальянная Барвиха Lounge,"город Москва, проспект Андропова, дом 22",,бар,True
3146,298577,Шоты и Пинты,"город Москва, поселение Сосенское, бульвар Веласкеса, дом 5, корпус 2",нет,бар,True
1930,298397,Мята Lounge,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ломоносовский, улица Гарибальди, дом 4Г",да,бар,True
1395,296309,Taboo bar,"город Москва, Усачёва улица, дом 26",нет,бар,True
4291,295898,Union Jack,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Нижний Кисельный переулок, дом 3, строение 1",нет,бар,True
6736,294566,Saraymoscow,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Тверская улица, дом 9А, строение 2",,бар,True
1532,294125,Аут паб,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Верхняя Красносельская улица, дом 8, корпус 3",,бар,True
5549,292441,Мята Lounge,"город Москва, поселение Сосенское, бульвар Веласкеса, дом 5, корпус 1",,бар,True
3995,291047,Hookah Place,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Столешников переулок, дом 7, строение 1",нет,бар,True
4721,290519,Пивной герцог,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мичуринский проспект, дом 26",нет,бар,True
3613,290221,Йорик Убил Хамлета,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Покровка, дом 16",,бар,True
3813,289676,WIP,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Яузский бульвар, дом 11, строение 1",,бар,True
5202,289639,Гастромаркет,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Преображенское, Преображенская площадь, дом 7А, строение 1",,бар,True
1217,289531,Bad crown,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Большой Спасоглинищевский переулок, дом 9/1, строение 16А",нет,бар,True
9920,289494,Moriarty Bar,"город Москва, Рочдельская улица, дом 15, строение 35",нет,бар,True
6264,289448,Раки Beer и Wine,"город Москва, 3-я улица Ямского Поля, дом 9",,бар,True
1739,289438,My lounge room,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Гарднеровский переулок, дом 3, строение 4",,бар,True
8416,288549,69 Pints,"город Москва, Тверская улица, дом 5/6",,бар,True
5272,288123,Brooklyn Бар и Маркет,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, Шипиловский проезд, дом 47",,бар,True
763,287140,Паб PivTown,"город Москва, проезд Дежнёва, дом 2А",нет,бар,True
5061,286648,Gandvik Bar Легенда Севера,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Левобережный, Смольная улица, дом 44, корпус 1, помещение 141Н/13",нет,бар,True
7505,286272,Спорт бар BFL S,"город Москва, площадь Джавахарлала Неру, дом 1",нет,бар,True
9019,285305,Мята Platinum,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, улица Грузинский Вал, дом 11, строение 3",,бар,True
1776,284380,Newada,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, улица Грузинский Вал, дом 11, строение 4",,бар,True
1774,284377,Бар Пушкинский,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Пушкинская площадь, дом 2",,бар,True
2466,284250,Двор,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Земляной Вал, дом 7",,бар,True
9756,284246,Beerhappens Jr,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Лубянский проезд, дом 25, строение 2",нет,бар,True
