ID,Name,Address,IsNetObject,TypeObject,is_actual
29486,СТОЛОВАЯ В МЕДИЦИНСКОЙ АКАДЕМИИ ИМ. И.М. СЕЧЕНОВА,"город Москва, улица Россолимо, дом 11, строение 1",,,
166061,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Бутырская улица, дом 84",нет,кафетерий,True
359101,Кафе «Marie»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Береговой проезд, дом 5А, корпус 1",нет,,
28755,ГБОУ Школа № 1411(606),"город Москва, улица Бестужевых, дом 25Б",нет,,
275091,Забыли сахар,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, проспект Мира, дом 211, корпус 2",нет,,
309034,Крошка-Картошка,"город Москва, Новослободская улица, дом 4",,,
328450,Верба,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, проспект Андропова, дом 37",нет,ресторан,True
289406,Che Pizza,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, Электродная улица, дом 2, строение 32",нет,кафе,True
297814,Маэстро пицца,"город Москва, Семёновская площадь, дом 1",нет,предприятие быстрого обслуживания,True
313579,ПРАВDА Кофе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, 2-й Павелецкий проезд, дом 5, строение 1",,,
202752,The Rooms,"Николоямская улица, дом 38/14/23, строение 3",нет,,
194078,Пекарня «Вкусняшка»,"город Москва, Святоозерская улица, дом 1А",нет,буфет,True
125579,ПРАЙМ,"город Москва, Садовая-Самотёчная улица, дом 24/27",да,,
338071,Веганцвале,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Таганская площадь, дом 86/1, строение 1",нет,,
21461,ГБПОУ «Педагогический колледж «10»,"город Москва, улица Фёдора Полетаева, дом 2, корпус 7",нет,,
373245,Бар-Дак,"город Москва, Полярная улица, дом 27, корпус 3",нет,бар,True
352318,GonDola,"город Москва, Кутузовский проспект, дом 57",,,
375323,Чайхана 24,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, Варшавское шоссе, дом 33, строение 12",,кафе,True
272075,Bro&N,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Малая Бронная улица, дом 27/14",нет,,
229911,Кофейня РАФ and СТАФФ,"город Москва, Каширское шоссе, дом 65, корпус 1",,,
280589,Шаурма,"город Москва, Грайвороновская улица, дом 19",,,
181686,Суши Wok,"город Москва, 9-я Парковая улица, дом 59, корпус 2",да,предприятие быстрого обслуживания,True
328404,Кофе-остров Coffe Rus,"город Москва, Флотская улица, дом 7, строение 1",нет,,
28376,Столовая Рабочая,"город Москва, Ленинградский проспект, дом 31А, строение 1",,столовая,True
25276,Кафе-столовая,"город Москва, улица Бирюсинка, дом 6, корпус 1-5",нет,столовая,True
371868,Кафе у Джона,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Нежинская улица, дом 9, корпус 1",,,
277340,Шаурма,"город Москва, Свободный проспект, дом 20А",,,
125541,Столовая,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, улица Мичуринский Проспект, Олимпийская Деревня, дом 1",нет,столовая,True
88592,Вкусно - и точка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Бутово, Старокачаловская улица, дом 5А",да,,
347388,EVO Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Народного Ополчения, дом 45",нет,,
368729,Лира,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Новый Арбат, дом 36",нет,ресторан,True
73434,Предприятие быстрого обслуживания «РусЪпай»,"город Москва, Варшавское шоссе, дом 125, корпус 3",нет,,
164695,Торт Хауз,"город Москва, город Московский, Радужная улица, дом 8",нет,,
345950,Wаурма&Я-Ташкент,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марфино, улица Академика Королёва, дом 28, корпус 1",нет,ресторан,True
29007,Школа № 463,"город Москва, улица Новинки, дом 8",нет,,
268870,Лодка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, Новинский бульвар, дом 8",нет,,
174446,Black Swan pub and shop,"город Москва, улица Солянка, дом 1/2, строение 1",нет,,
338537,Кафетерий,"город Москва, Пятницкое шоссе, дом 18",нет,кафетерий,True
318888,SeDelice,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Новокузнецкая улица, дом 43/16, строение 2",да,,
27927,Столовая НИИ Пластик,"город Москва, улица Клары Цеткин, дом 18, корпус 1",,столовая,True
202130,Старый Сычуань,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Лубянский проезд, дом 25, строение 2",нет,ресторан,True
361611,Пекарня Диана,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Большая Татарская улица, дом 20, строение 2",,,
367243,Милти,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Электролитный проезд, дом 16А",да,,
26835,Консул,"город Москва, улица Остоженка, дом 53/2, строение 1",,ресторан,True
23413,ОАО «ВИЛС» СТОЛОВАЯ 1,"город Москва, улица Горбунова, дом 2",нет,столовая,True
269364,Столовая «Азбука Питания»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Кожевническая улица, дом 7, строение 1",,столовая,True
156891,Чудо Пекарня Шаргунь,"город Москва, Севастопольский проспект, дом 15, корпус 3",нет,,
22167,Якитория,"город Москва, Садовая-Спасская улица, дом 21/1",,,
29589,ГБОУ СОШ 944,"город Москва, улица Мусы Джалиля, дом 6, корпус 3",нет,,
316276,Cofix,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, Профсоюзная улица, дом 19",да,,
29167,ГБОУ Коллежд связи №54,"город Москва, Рабочая улица, дом 12, строение 1",,,
299178,The Бык,"город Москва, Страстной бульвар, дом 8А",,,
276681,Чайхана от души,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, улица Обручева, дом 16, корпус 1",,,
358075,Кофейня «Чашка»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Олимпийский проспект, дом 16, строение 5",,,
28813,Столовая при ШК. 1310 (796),"город Москва, Перовская улица, дом 44Б",нет,,
337832,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коптево, Новопетровская улица, дом 16",нет,предприятие быстрого обслуживания,True
27852,Столовая,"город Москва, город Зеленоград, проезд № 4922, дом 4, строение 5",нет,,
152340,Мясо и паста,"город Москва, Лесная улица, дом 20, строение 2",нет,,
197020,KFC,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, 7-я Кожуховская улица, дом 9",да,,
367013,Poke man,"город Москва, проспект Андропова, дом 8",,,
360134,VIVA LA COFFEE,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, Ферганская улица, дом 17",нет,,
255504,Кофейня кофе выпечка ЗНАКОМЫЕ ЛИЦА,"город Москва, Дмитровское шоссе, дом 107А, корпус 1",,,
125633,Раковая на Усачева,"город Москва, Усачёва улица, дом 22",нет,,
256442,Суши,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Александры Монаховой, дом 88, корпус 1",нет,,
303218,Мята Lounge,"город Москва, Новоалексеевская улица, дом 22, корпус 1",да,,
274953,Столовая ГБОУ Школа №827,"город Москва, улица Героев Панфиловцев, дом 45, корпус 3",,столовая,True
353288,ТandW,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Сущёвская улица, дом 27, строение 1",,,
339724,Кафетерий,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, улица Мастеркова, дом 6",,кафетерий,True
318033,Столовая ЦСКА,"город Москва, Автозаводская улица, дом 23А",,,
29367,"Буфет Московский приборостроительный техникум, центр дополнительного образования РЭУ Г.В.Плеханова","город Москва, Нахимовский проспект, дом 21",,,
282205,Coffee10 a.m,"город Москва, город Московский, улица Москвитина, дом 3, корпус 2",,,
308933,Старт,"город Москва, улица Лужники, дом 24, строение 16",,,
152118,Буфет Лингвистической экономической школы-лицея,"город Москва, Верхняя Красносельская улица, дом 14, строение 3",нет,,
105228,Шоколадница,"город Москва, Манежная площадь, дом 1, строение 2",,,
132748,Doughnats Coffee,"город Москва, Кировоградская улица, дом 13А",нет,,
210159,Шератон,"город Москва, Международное шоссе, дом 28Б, строение 5",нет,,
203185,Папа Джонс,"город Москва, улица Маршала Катукова, дом 10",,,
366888,Шаурма. Хот дог. Выпечка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ясенево, проезд Одоевского, дом 11А, строение 1",нет,магазин (отдел кулинарии),True
